# Cancer type name mappings: variation<TAB>standard_name
# 467 entries
CRC	colorectal cancer
crc	colorectal cancer
colon	colorectal cancer
colon cancer	colorectal cancer
colon carcinoma	colorectal cancer
colon adenocarcinoma	colorectal cancer
colorectal	colorectal cancer
colorectal adenocarcinoma	colorectal cancer
colorectal carcinoma	colorectal cancer
colorectal cancer susceptibility	colorectal cancer
large intestine	colorectal cancer
large intestine carcinoma	colorectal cancer
colorectal cancer	colorectal cancer
NSCLC	non-small cell lung cancer
nsclc	non-small cell lung cancer
lung adenocarcinoma	non-small cell lung cancer
lung adenocarcinoma (mucinous)	non-small cell lung cancer
non-small cell lung cancer	non-small cell lung cancer
SCLC	small cell lung cancer
sclc	small cell lung cancer
small cell lung carcinoma	small cell lung cancer
small cell lung cancer	small cell lung cancer
lung	lung cancer
lung carcinoma	lung cancer
lung SCC	lung cancer
Lung SCC	lung cancer
lung cancer	lung cancer
breast	breast cancer
breast carcinoma	breast cancer
lobular breast	breast cancer
luminal A breast	breast cancer
secretory breast	breast cancer
triple-negative breast cancer	breast cancer
fibroadenoma	breast cancer
breast cancer	breast cancer
AML	acute myeloid leukaemia
aml	acute myeloid leukaemia
AML*	acute myeloid leukaemia
de novo AML	acute myeloid leukaemia
paediatric AML	acute myeloid leukaemia
sAML	acute myeloid leukaemia
acute megakaryocytic leukaemia	acute myeloid leukaemia
promyelocytic leukaemia	acute myeloid leukaemia
megakaryoblastic leukaemia of Downs syndrome	acute myeloid leukaemia
acute myeloid leukaemia	acute myeloid leukaemia
ALL	acute lymphoblastic leukaemia
all	acute lymphoblastic leukaemia
pre B-ALL	acute lymphoblastic leukaemia
pre-B ALL	acute lymphoblastic leukaemia
B-ALL	acute lymphoblastic leukaemia
T-ALL	acute lymphoblastic leukaemia
ETP ALL	acute lymphoblastic leukaemia
Downs associated ALL	acute lymphoblastic leukaemia
Down syndrome associated ALL	acute lymphoblastic leukaemia
relapse ALL	acute lymphoblastic leukaemia
lymphoblastic leukaemia/biphasic	acute lymphoblastic leukaemia
acute lymphoblastic leukaemia	acute lymphoblastic leukaemia
APL	acute promyelocytic leukaemia
apl	acute promyelocytic leukaemia
